ccode1,ccode2,import_flow1,relative_import1,relative_export2,trade_importance
713,679,0.5932771,3.491495991765072e-06,0.00010044229042539414,0.00040970065645356277
732,679,325.53601000000003,0.0012472120903676202,0.0551135084437677,0.017277277073544265
740,679,405.32568,0.0007874824158932229,0.06862196377953973,0.02244467652271512
750,679,15.206179999999998,0.00015390425210887412,0.0025744185100365744,0.008154683678742926
770,679,3.1816883,0.00012783340805375725,0.0005386623894158034,0.0016393435711016607
771,679,0.029455508999999998,2.296795730767977e-06,4.986841375818839e-06,9.202584845844253e-05
780,679,1.2256401000000001,0.00013735497936700642,0.00020750185517224437,9.54597236792924e-05
781,679,0.0003823578,5.137980129509397e-07,6.473348321385532e-08,1.4463287404119874e-07
800,679,933.72131,0.008032826783055646,0.1580797691254213,0.04358569960154738
816,679,0.50434136,1.3751284509783133e-05,8.538539807900601e-05,0.00018131067963557683
820,679,48.910561,0.00043105524872136394,0.00828059733441752,0.007420954566997614
830,679,40.605114,0.00020448123992081735,0.0068744784741299435,0.004269474629972078
835,679,0.015249923,9.27432339512655e-06,2.5818242351354837e-06,2.9640369075655085e-06
850,679,0.109124,1.9015356604307197e-06,1.8474781009381133e-05,0.0017882899893444779
900,679,42.783676,0.0003283824269395883,0.007243310773764848,0.0037284197470095854
920,679,89.5923,0.0034298539794928385,0.015168048482705702,0.005578045686645206
940,679,0.048552766,0.0002671457431155742,8.22002235300874e-06,7.876186177067751e-05
950,679,0.0031016793,2.1646204806086446e-06,5.25116801334542e-07,6.724343204857967e-07
692,690,24.793332999999997,0.004063654715934014,0.0006357235960001398,0.0073880385564463625
694,690,47.007824,0.004672303801058197,0.0012053233388758858,0.0025282254894685987
696,690,271.26172,0.0025313677904204735,0.0069553970858046025,0.011656798564071997
698,690,17.936344000000002,0.0020326859762440468,0.00045990416483235774,0.0019580115532669895
701,690,0.28982213,0.0001128975262553061,7.431302870171592e-06,3.008220728136942e-05
702,690,0.5,0.0003725446146679821,1.2820454514932299e-05,9.634126729572859e-05
705,690,0.010701,6.168655004630848e-07,2.7438336752858105e-07,3.952223807848619e-07
710,690,1244.0988,0.0016396620314573186,0.03189982415496371,0.02089148381744813
712,690,0.054200001,4.547791426773775e-05,1.3897372950595702e-06,0.0002846547910385625
713,690,3905.2954,0.022983060083995442,0.10013532408614867,0.03298725303460642
732,690,5976.9951,0.022899403825672075,0.15325558763104646,0.05272235725595346
740,690,7627.1704,0.014818361799877274,0.19556758238167596,0.07436407595127276
750,690,422.87653,0.004280003004307846,0.010842938636594808,0.013850520052069477
770,690,1263.8129,0.050777290204481164,0.03240531159966936,0.023602470849618938
771,690,1178.7565,0.09191363479120335,0.030224388184861586,0.03078655710685451
780,690,7.7073698,0.0008637491706194081,0.0001976239679013257,0.001005893238985006
781,690,1.9811353999999999,0.0026621751456535345,5.079811256724441e-05,0.0006782433145551947
800,690,310.87326,0.002674450098031737,0.007971072979477445,0.005751675452544509
811,690,0.0017991654,7.062152587150704e-07,4.613223635107995e-08,6.841173328939982e-07
